districts,statecode,population
Doda,JK,409576
Ganderbal,JK,297003
Jammu,JK,1526406
Kathua,JK,615711
Kishtwar,JK,230696
Kulgam,JK,422786
Kupwara,JK,875564
Pulwama,JK,570060
Punch,JK,476820
Rajouri,JK,619266
Ramban,JK,283313
Reasi,JK,314714
Samba,JK,318611
Shopiyan,JK,265960
Srinagar,JK,1269751
Udhampur,JK,555357
Bagalkote,KA,1890826
Ballari,KA,2532383
Belagavi,KA,4778439
Bengaluru Rural,KA,987257
Bengaluru Urban,KA,9588910
Bidar,KA,1700018
Chamarajanagara,KA,1020962
Chikkaballapura,KA,1254377
Chikkamagaluru,KA,1137753
Chitradurga,KA,1660378
Dakshina Kannada,KA,2083625
Davanagere,KA,1946905
Dharwad,KA,1846993
Gadag,KA,1065235
Hassan,KA,1776221
Haveri,KA,1598506
Kalaburagi,KA,2564892
Kodagu,KA,554762
Kolar,KA,1540231
Koppal,KA,1391292
Mandya,KA,1808680
Mysuru,KA,2994744
Raichur,KA,1924773
Ramanagara,KA,1082739
Shivamogga,KA,1755512
Tumakuru,KA,2681449
Udupi,KA,1177908
Uttara Kannada,KA,1353299
Vijayapura,KA,2175102
Yadgir,KA,1172985
Alappuzha,KL,2121943
Ernakulam,KL,3279860
Idukki,KL,1107453
Kannur,KL,2525637
Kasaragod,KL,1302600
Kollam,KL,2629703
Kottayam,KL,1979384
Kozhikode,KL,3089543
Malappuram,KL,4110956
Palakkad,KL,2810892
Pathanamthitta,KL,1195537
Thiruvananthapuram,KL,3307284
Thrissur,KL,3110327
Wayanad,KL,816558
Kargil,LA,143000
Leh,LA,147000
Lakshadweep,LD,64473
Ahmednagar,MH,4543083
Akola,MH,1818617
Amravati,MH,2887826
Aurangabad,MH,3695928
Beed,MH,2585962
Bhandara,MH,1198810
Buldhana,MH,2588039
Chandrapur,MH,2194262
Dhule,MH,2048781
Gadchiroli,MH,1071795
Gondia,MH,1322331
Hingoli,MH,1178973
Jalgaon,MH,4224442
Jalna,MH,1958483
Kolhapur,MH,3874015
Latur,MH,2455543
Mumbai,MH,12442373
Nagpur,MH,4653171
Nanded,MH,3356566
Nandurbar,MH,1646177
Nashik,MH,6109052
Osmanabad,MH,1660311
Palghar,MH,2990116
Parbhani,MH,1835982
Pune,MH,9426959
Raigad,MH,2635394
Ratnagiri,MH,1612672
Sangli,MH,2820575
Satara,MH,3003922
Sindhudurg,MH,848868
Solapur,MH,4315527
Thane,MH,11060148
Wardha,MH,1296157
Washim,MH,1196714
Yavatmal,MH,2775457
East Garo Hills,ML,317618
East Jaintia Hills,ML,122436
East Khasi Hills,ML,824059
North Garo Hills,ML,118325
Ribhoi,ML,258380
South Garo Hills,ML,142574
South West Garo Hills,ML,172495
South West Khasi Hills,ML,110152
West Garo Hills,ML,642923
West Jaintia Hills,ML,270352
West Khasi Hills,ML,385601
Bishnupur,MN,240363
Chandel,MN,144028
Churachandpur,MN,271274
Imphal East,MN,452661
Imphal West,MN,514683
Jiribam,MN,43818
Kakching,MN,135481
Kamjong,MN,45616
Pherzawl,MN,47250
Senapati,MN,354772
Tamenglong,MN,140143
Thoubal,MN,420517
Ukhrul,MN,183115
Alirajpur,MP,728677
Anuppur,MP,749521
Ashoknagar,MP,844979
Balaghat,MP,1701156
Barwani,MP,1385659
Betul,MP,1575247
Bhind,MP,1703562
Bhopal,MP,2368145
Burhanpur,MP,756993
Chhatarpur,MP,1762857
Chhindwara,MP,2090306
Damoh,MP,1263703
Datia,MP,786375
Dewas,MP,1563107
Dhar,MP,2184672
Dindori,MP,704218
Guna,MP,1240938
Gwalior,MP,2030543
Harda,MP,570302
Hoshangabad,MP,1240975
Indore,MP,3272335
Jabalpur,MP,2460714
Jhabua,MP,1024091
Katni,MP,1291684
Khandwa,MP,1309443
Khargone,MP,1872413
Mandla,MP,1053522
Mandsaur,MP,1339832
Morena,MP,1965137
Narsinghpur,MP,1092141
Neemuch,MP,825958
Niwari,MP,0
Panna,MP,1016028
Raisen,MP,1331699
Rajgarh,MP,1546541
Ratlam,MP,1454483
Rewa,MP,2363744
Sagar,MP,2378295
Satna,MP,2228619
Sehore,MP,1311008
Seoni,MP,1378876
Shahdol,MP,1064989
Shajapur,MP,1512353
Sheopur,MP,687952
Shivpuri,MP,1725818
Sidhi,MP,1126515
Singrauli,MP,1178132
Tikamgarh,MP,1444920
Ujjain,MP,1986864
Umaria,MP,643579
Vidisha,MP,1458212
Aizawl,MZ,404054
Champhai,MZ,125370
Kolasib,MZ,83054
Lawngtlai,MZ,117444
Lunglei,MZ,154094
Mamit,MZ,85757
Saiha,MZ,56366
Serchhip,MZ,64875
Dimapur,NL,379769
Kiphire,NL,74033
Kohima,NL,270063
Longleng,NL,50593
Mokokchung,NL,193171
Mon,NL,259604
Peren,NL,163294
Phek,NL,163294
Tuensang,NL,414801
Wokha,NL,166239
Zunheboto,NL,141014
Angul,OR,1271703
Balangir,OR,1648574
Balasore,OR,2317419
Bargarh,OR,1478833
Bhadrak,OR,1506522
Boudh,OR,439917
Cuttack,OR,2618708
Deogarh,OR,312164
Dhenkanal,OR,1192948
Gajapati,OR,575880
Ganjam,OR,3520151
Jagatsinghpur,OR,1136604
Jajpur,OR,1826275
Jharsuguda,OR,579499
Kalahandi,OR,1573054
Kandhamal,OR,731952
Kendrapara,OR,1439891
Kendujhar,OR,1802777
Khordha,OR,2246341
Koraput,OR,1376934
Malkangiri,OR,612727
Mayurbhanj,OR,2513895
Nabarangapur,OR,1218762
Nayagarh,OR,962215
Nuapada,OR,606490
Puri,OR,1697983
Rayagada,OR,961959
Sambalpur,OR,1044410
Subarnapur,OR,652107
Sundargarh,OR,2080664
Amritsar,PB,2490891
Barnala,PB,596294
Bathinda,PB,1388859
Faridkot,PB,618008
Fatehgarh Sahib,PB,599814
Fazilka,PB,1180483
Ferozepur,PB,2026831
Gurdaspur,PB,2299026
Hoshiarpur,PB,1582793
Jalandhar,PB,2181753
Kapurthala,PB,817668
Ludhiana,PB,3487882
Mansa,PB,768808
Moga,PB,992289
Pathankot,PB,626154
Patiala,PB,2892282
Rupnagar,PB,683349
S.A.S. Nagar,PB,986147
Sangrur,PB,1654408
Shahid Bhagat Singh Nagar,PB,614362
Sri Muktsar Sahib,PB,902702
Tarn Taran,PB,1120070
Karaikal,PY,200222
Mahe,PY,41816
Puducherry,PY,950289
Yanam,PY,55626
Ajmer,RJ,2584913
Alwar,RJ,3671999
Banswara,RJ,1798194
Baran,RJ,1223921
Barmer,RJ,2604453
Bharatpur,RJ,2549121
Bhilwara,RJ,2410459
Bikaner,RJ,2367745
Bundi,RJ,1113725
Chittorgarh,RJ,1544392
Churu,RJ,2041172
Dausa,RJ,1637226
Dholpur,RJ,1207293
Dungarpur,RJ,1388906
Ganganagar,RJ,1969520
Hanumangarh,RJ,1779650
Jaipur,RJ,6663971
Jaisalmer,RJ,672008
Jalore,RJ,1830151
Jhalawar,RJ,1411327
Jhunjhunu,RJ,2139658
Jodhpur,RJ,3685681
Karauli,RJ,1458459
Kota,RJ,1950491
Nagaur,RJ,3309234
Pali,RJ,2038533
Pratapgarh,RJ,868231
Rajsamand,RJ,1158283
Sawai Madhopur,RJ,1338114
Sikar,RJ,2677737
Sirohi,RJ,1037185
Tonk,RJ,1421711
Udaipur,RJ,3067549
East Sikkim,SK,281293
North Sikkim,SK,43354
South Sikkim,SK,146742
West Sikkim,SK,136299
Adilabad,TG,708952
Bhadradri Kothagudem,TG,1304811
Hyderabad,TG,3441992
Jagtial,TG,983414
Jangaon,TG,582457
Jayashankar Bhupalapally,TG,712257
Jogulamba Gadwal,TG,664971
Kamareddy,TG,972625
Karimnagar,TG,1016063
Khammam,TG,1401639
Komaram Bheem,TG,515835
Mahabubabad,TG,1318110
Mancherial,TG,807037
Medak,TG,767428
Medchal Malkajgiri,TG,2542203
Mulugu,TG,294671
Nagarkurnool,TG,893308
Nalgonda,TG,1631399
Narayanpet,TG,566874
Nirmal,TG,709415
Nizamabad,TG,1534428
Peddapalli,TG,795332
Rajanna Sircilla,TG,546121
Ranga Reddy,TG,2551731
Sangareddy,TG,1527628
Siddipet,TG,993376
Suryapet,TG,1099560
Vikarabad,TG,881250
Wanaparthy,TG,751553
Warangal Rural,TG,716457
Warangal Urban,TG,1135707
Yadadri Bhuvanagiri,TG,726465
Ariyalur,TN,752481
Chengalpattu,TN,2556244
Chennai,TN,7100000
Coimbatore,TN,3472578
Cuddalore,TN,2600880
Dharmapuri,TN,1502900
Dindigul,TN,2161367
Erode,TN,2259608
Kallakurichi,TN,1370281
Kancheepuram,TN,1166401
Kanyakumari,TN,1863178
Karur,TN,1076588
Krishnagiri,TN,1883731
Madurai,TN,3991038
Mayiladuthurai,TN,901000
Nagapattinam,TN,1614069
Namakkal,TN,1721179
Nilgiris,TN,735071
Perambalur,TN,564511
Pudukkottai,TN,1918725
Ramanathapuram,TN,1337560
Ranipet,TN,1210277
Salem,TN,3480008
Sivaganga,TN,1341250
Tenkasi,TN,1407627
Thanjavur,TN,2402781
Theni,TN,1243684
Thiruvallur,TN,3725697
Thiruvarur,TN,1268094
Thoothukkudi,TN,1738376
Tiruchirappalli,TN,2713858
Tirunelveli,TN,1665253
Tirupathur,TN,1111812
Tiruppur,TN,2471222
Tiruvannamalai,TN,2468965
Vellore,TN,1614242
Viluppuram,TN,2093003
Virudhunagar,TN,1943309
Dhalai,TR,377988
Gomati,TR,436868
Khowai,TR,327391
North Tripura,TR,415946
Sipahijala,TR,484233
South Tripura,TR,433737
Unokoti,TR,277335
West Tripura,TR,917534
Agra,UP,4380793
Aligarh,UP,3673849
Ambedkar Nagar,UP,2398709
Amethi,UP,2549935
Amroha,UP,1838771
Auraiya,UP,1372287
Ayodhya,UP,2468371
Azamgarh,UP,4616509
Baghpat,UP,1302156
Bahraich,UP,2384239
Ballia,UP,3223642
Balrampur,UP,2149066
Banda,UP,1799541
Barabanki,UP,3257983
Bareilly,UP,4465344
Basti,UP,2461056
Bhadohi,UP,1554203
Bijnor,UP,3683896
Budaun,UP,3712738
Bulandshahr,UP,3498507
Chandauli,UP,1952713
Chitrakoot,UP,990626
Deoria,UP,3098637
Etah,UP,1761152
Etawah,UP,1579160
Farrukhabad,UP,1887577
Fatehpur,UP,2632684
Firozabad,UP,2496761
Gautam Buddha Nagar,UP,1674714
Ghaziabad,UP,4661452
Ghazipur,UP,3622727
Gonda,UP,3431386
Gorakhpur,UP,4436275
Hamirpur,UP,1104021
Hapur,UP,1338211
Hardoi,UP,4091380
Hathras,UP,1565678
Jalaun,UP,1670718
Jaunpur,UP,4476072
Jhansi,UP,2000755
Kannauj,UP,1658005
Kanpur Dehat,UP,1795092
Kanpur Nagar,UP,4572951
Kasganj,UP,1438156
Kaushambi,UP,1596909
Kushinagar,UP,3560830
Lakhimpur Kheri,UP,4013634
Lalitpur,UP,1218002
Lucknow,UP,4588455
Maharajganj,UP,2665292
Mahoba,UP,876055
Mainpuri,UP,1847194
Mathura,UP,2541894
Mau,UP,2205170
Meerut,UP,3447405
Mirzapur,UP,2494533
Moradabad,UP,4773138
Muzaffarnagar,UP,4138605
Pilibhit,UP,2037225
Pratapgarh,UP,3173752
Prayagraj,UP,5959798
Rae Bareli,UP,3404004
Rampur,UP,2335398
Saharanpur,UP,3464228
Sambhal,UP,2217020
Sant Kabir Nagar,UP,1714300
Shahjahanpur,UP,3002376
Shamli,UP,1274815
Shrawasti,UP,1114615
Siddharthnagar,UP,2553526
Sitapur,UP,4474446
Sonbhadra,UP,1862612
Sultanpur,UP,3790922
Unnao,UP,3110595
Varanasi,UP,3682194
Almora,UT,621927
Bageshwar,UT,259840
Chamoli,UT,391114
Champawat,UT,259315
Dehradun,UT,1698560
Haridwar,UT,1927029
Nainital,UT,955128
Pauri Garhwal,UT,686527
Pithoragarh,UT,485993
Rudraprayag,UT,236857
Tehri Garhwal,UT,616409
Udham Singh Nagar,UT,1648367
Uttarkashi,UT,329686
Alipurduar,WB,1700000
Bankura,WB,3596292
Birbhum,WB,3502387
Cooch Behar,WB,2822780
Dakshin Dinajpur,WB,1670931
Darjeeling,WB,1842034
Hooghly,WB,5520389
Howrah,WB,4841638
Jalpaiguri,WB,3869675
Jhargram,WB,1136548
Kalimpong,WB,251642
Kolkata,WB,4486679
Malda,WB,3997970
Murshidabad,WB,7102430
Nadia,WB,5168488
North 24 Parganas,WB,10082852
Paschim Bardhaman,WB,2882031
Paschim Medinipur,WB,5094238
Purba Bardhaman,WB,4835532
Purba Medinipur,WB,4417377
Purulia,WB,2927965
South 24 Parganas,WB,8153176
Uttar Dinajpur,WB,3000849
